"filename", "language", "YAML", "Dart", "Java Properties", "Markdown", "XML", "Groovy", "JSON", "Swift", "C++", "Java", "comment", "blank", "total"
"d:\FlutterApp\lib\ui\splash\splash_page.dart", "Dart", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 53
"d:\FlutterApp\lib\utils\drawer\drawer_menu.dart", "Dart", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 93
"d:\FlutterApp\lib\utils\fonts\fonts.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\FlutterApp\lib\utils\global_widgets\custom_rounded_button.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 57
"d:\FlutterApp\lib\utils\methods\methods.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\FlutterApp\lib\utils\style\font_style.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\FlutterApp\local.properties", "Java Properties", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 1, 9
"d:\FlutterApp\pubspec.yaml", "YAML", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 17, 132
"d:\FlutterApp\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 58, 4161, 9, 4, 201, 89, 213, 12, 1, 13, 192, 449, 5402
